iter	Passed	Remaining
476	672	737
477	673	735
478	674	733
479	676	732
480	677	730
481	678	729
482	680	728
483	681	726
484	682	724
485	683	723
486	685	721
487	686	720
488	687	718
489	689	717
490	690	716
491	692	715
492	694	714
493	695	712
494	697	711
495	699	710
496	700	709
497	702	707
498	703	706
499	704	704
500	706	703
501	707	702
502	709	700
503	710	699
504	712	698
505	713	696
506	715	695
507	716	693
508	717	692
509	718	690
510	719	688
511	720	686
512	721	685
513	723	683
514	724	682
515	726	681
516	727	679
517	729	678
518	730	676
519	731	674
520	732	673
521	733	671
522	734	670
523	736	669
524	738	667
525	739	666
526	740	664
527	742	663
528	743	662
529	744	660
530	745	658
531	746	656
532	747	655
533	748	653
534	749	651
535	751	650
536	752	648
537	754	647
538	755	646
539	757	644
540	758	643
541	760	642
542	760	640
543	761	638
544	763	637
545	765	636
546	766	634
547	768	633
548	769	632
549	771	631
550	773	630
551	774	628
552	776	627
553	777	626
554	779	624
555	780	623
556	782	622
557	783	620
558	785	619
559	786	617
560	787	616
561	789	615
562	790	613
563	791	611
564	793	610
565	794	609
566	796	608
567	797	606
568	799	605
569	800	603
570	801	602
571	802	600
572	804	599
573	805	598
574	807	596
575	808	595
576	810	593
577	811	592
578	813	591
579	814	590
580	816	588
581	818	587
582	819	586
583	820	584
584	821	582
585	822	581
586	824	580
587	826	578
588	827	577
589	829	576
590	830	574
591	832	573
592	833	572
593	835	570
594	836	569
595	837	567
596	839	566
597	841	565
598	843	564
599	844	563
600	846	561
601	847	560
602	849	559
603	850	557
604	852	556
605	855	556
606	857	555
607	860	554
608	863	554
609	864	552
610	866	551
611	868	550
612	870	549
613	873	548
614	874	547
615	875	545
616	877	544
617	878	543
618	880	541
619	882	540
620	883	539
621	884	537
622	886	536
623	887	534
624	889	533
625	891	532
626	892	531
627	894	529
628	896	528
629	898	527
630	900	526
631	901	525
632	903	523
633	905	522
634	907	521
635	909	520
636	911	519
637	913	518
638	914	516
639	915	514
640	917	513
641	919	512
642	920	510
643	921	509
644	922	507
645	923	505
646	924	504
647	925	502
648	927	501
649	928	500
650	930	498
651	932	497
652	934	496
653	936	495
654	938	494
655	940	493
656	942	491
657	942	490
658	944	488
659	944	486
660	946	485
661	948	484
662	950	483
663	952	482
664	954	480
665	956	479
666	958	478
667	959	476
668	961	475
669	963	474
670	964	473
671	966	471
672	968	470
673	970	469
674	973	468
675	974	467
676	975	465
677	976	463
678	978	462
679	980	461
680	982	460
681	984	459
682	986	457
683	988	456
684	989	455
685	990	453
686	993	452
687	995	451
688	997	450
689	999	448
690	1001	447
691	1003	446
692	1005	445
693	1006	443
694	1008	442
695	1010	441
696	1012	440
697	1014	438
698	1016	437
699	1017	436
700	1018	434
701	1019	432
702	1021	431
703	1022	430
704	1024	428
705	1026	427
706	1029	426
707	1031	425
708	1033	424
709	1034	422
710	1036	421
711	1038	420
712	1040	418
713	1042	417
714	1044	416
715	1047	415
716	1048	413
717	1049	412
718	1050	410
719	1051	408
720	1052	407
721	1054	405
722	1055	404
723	1057	403
724	1060	402
725	1062	400
726	1063	399
727	1064	397
728	1066	396
729	1067	394
730	1068	393
731	1070	391
732	1072	390
733	1074	389
734	1075	387
735	1076	386
736	1078	384
737	1081	383
738	1083	382
739	1084	381
740	1086	379
741	1088	378
742	1090	377
743	1091	375
744	1092	374
745	1094	372
746	1096	371
747	1097	369
748	1098	368
749	1100	366
750	1101	365
751	1102	363
752	1103	362
753	1104	360
754	1106	359
755	1108	357
756	1110	356
757	1112	355
758	1112	353
759	1114	351
760	1115	350
761	1117	349
762	1120	347
763	1120	346
764	1122	344
765	1124	343
766	1126	342
767	1127	340
768	1128	338
769	1129	337
770	1130	335
771	1131	334
772	1132	332
773	1134	331
774	1136	329
775	1138	328
776	1139	327
777	1141	325
778	1142	324
779	1143	322
780	1144	320
781	1146	319
782	1148	318
783	1150	316
784	1152	315
785	1153	314
786	1155	312
787	1157	311
788	1158	309
789	1159	308
790	1161	306
791	1164	305
792	1166	304
793	1167	302
794	1169	301
795	1171	300
796	1172	298
797	1174	297
798	1175	295
799	1177	294
800	1178	292
801	1180	291
802	1182	290
803	1184	288
804	1186	287
805	1188	286
806	1189	284
807	1191	283
808	1193	281
809	1196	280
810	1198	279
811	1201	278
812	1203	276
813	1204	275
814	1206	273
815	1207	272
816	1208	270
817	1211	269
818	1213	268
819	1214	266
820	1216	265
821	1218	263
822	1219	262
823	1221	260
824	1222	259
825	1223	257
826	1225	256
827	1226	254
828	1228	253
829	1230	252
830	1231	250
831	1233	249
832	1234	247
833	1235	245
834	1236	244
835	1237	242
836	1238	241
837	1239	239
838	1240	238
839	1241	236
840	1242	234
841	1243	233
842	1244	231
843	1246	230
844	1247	228
845	1248	227
846	1249	225
847	1251	224
848	1252	222
849	1253	221
850	1254	219
851	1255	218
852	1256	216
853	1257	215
854	1258	213
855	1259	211
856	1261	210
857	1262	208
858	1262	207
859	1264	205
860	1266	204
861	1267	202
862	1268	201
863	1269	199
864	1270	198
865	1272	196
866	1273	195
867	1275	193
868	1276	192
869	1277	190
870	1278	189
871	1280	187
872	1281	186
873	1282	184
874	1283	183
875	1284	181
876	1285	180
877	1286	178
878	1287	177
879	1288	175
880	1289	174
881	1290	172
882	1291	171
883	1292	169
884	1294	168
885	1295	166
886	1297	165
887	1298	163
888	1299	162
889	1300	160
890	1301	159
891	1303	157
892	1304	156
893	1305	154
894	1306	153
895	1307	151
896	1308	150
897	1309	148
898	1310	147
899	1311	145
900	1312	144
901	1314	142
902	1315	141
903	1317	139
904	1317	138
905	1318	136
906	1319	135
907	1320	133
908	1322	132
909	1323	130
910	1324	129
911	1325	127
912	1326	126
913	1327	124
914	1328	123
915	1329	121
916	1330	120
917	1331	118
918	1332	117
919	1333	115
920	1335	114
921	1336	113
922	1337	111
923	1338	110
924	1339	108
925	1340	107
926	1342	105
927	1343	104
928	1344	102
929	1345	101
930	1346	99
931	1348	98
932	1349	96
933	1351	95
934	1352	94
935	1353	92
936	1354	91
937	1355	89
938	1357	88
939	1358	86
940	1359	85
941	1360	83
942	1361	82
943	1363	80
944	1364	79
945	1365	77
946	1367	76
947	1368	75
948	1369	73
949	1370	72
950	1371	70
951	1372	69
952	1374	67
953	1375	66
954	1376	64
955	1377	63
956	1379	61
957	1380	60
958	1382	59
959	1383	57
960	1384	56
961	1385	54
962	1386	53
963	1387	51
964	1388	50
965	1390	48
966	1391	47
967	1393	46
968	1394	44
969	1395	43
970	1396	41
971	1398	40
972	1399	38
973	1400	37
974	1401	35
975	1403	34
976	1405	33
977	1406	31
978	1408	30
979	1410	28
980	1412	27
981	1413	25
982	1415	24
983	1416	23
984	1417	21
985	1419	20
986	1419	18
987	1421	17
988	1423	15
989	1425	14
990	1427	12
991	1429	11
992	1431	10
993	1432	8
994	1433	7
995	1435	5
996	1437	4
997	1439	2
998	1441	1
999	1443	0
