iter	RMSE
252	0.6108642631
253	0.6096542332
254	0.6083032133
255	0.6066684955
256	0.6059920942
257	0.6025503505
258	0.5993160487
259	0.5979361832
260	0.5966328902
261	0.5954053784
262	0.5926974937
263	0.5917037071
264	0.590460639
265	0.5898077816
266	0.5888695434
267	0.5877728374
268	0.584291686
269	0.5835143307
270	0.5826401782
271	0.5801973759
272	0.5768705977
273	0.5740141408
274	0.5730161802
275	0.5700836049
276	0.5659050505
277	0.5650226671
278	0.5626059553
279	0.5596339374
280	0.5583378157
281	0.5573130807
282	0.554229658
283	0.5536617126
284	0.5529101747
285	0.5491584903
286	0.546125198
287	0.5436402425
288	0.5427511404
289	0.5404555665
290	0.5399053734
291	0.5373049215
292	0.5364278792
293	0.5359949035
294	0.5331994464
295	0.5313835553
296	0.530645046
297	0.5298532105
298	0.5275950719
299	0.5258703019
300	0.5248463982
301	0.5238978089
302	0.5213813309
303	0.5200806722
304	0.5173564165
305	0.5147158215
306	0.5139969897
307	0.5114543371
308	0.5089955025
309	0.5075921238
310	0.5055877605
311	0.5046779776
312	0.5026173331
313	0.5019368678
314	0.5015883843
315	0.5007262223
316	0.4996128752
317	0.4974296782
318	0.4968257737
319	0.4964951637
320	0.4946515956
321	0.4943120109
322	0.4927455948
323	0.4910106951
324	0.4892001092
325	0.4875365767
326	0.4869838165
327	0.4862486167
328	0.4859032183
329	0.4848002332
330	0.4832087556
331	0.4802705191
332	0.4782121779
333	0.4762407737
334	0.4742744832
335	0.4735870891
336	0.4733058048
337	0.4715862883
338	0.4700722322
339	0.4685301695
340	0.4671199089
341	0.4666581724
342	0.4650863182
343	0.4638166021
344	0.4612173348
345	0.4607782749
346	0.4593805073
347	0.456829997
348	0.4564092636
349	0.455996923
350	0.4552409987
351	0.45368006
352	0.4521869939
353	0.4511774713
354	0.449739365
355	0.4474224657
356	0.4462615648
357	0.4459116906
358	0.4451955443
359	0.4435767006
360	0.4422916255
361	0.4415779381
362	0.4400962527
363	0.4386973758
364	0.4375133942
365	0.4371694471
366	0.4361155348
367	0.4348882265
368	0.4334981945
369	0.4321776365
370	0.4310582418
371	0.4303234732
372	0.4301549631
373	0.4287421468
374	0.4282218702
375	0.4269721307
376	0.4257686157
377	0.4247160905
378	0.424561344
379	0.4236943147
380	0.4226657717
381	0.4216985302
382	0.4213506662
383	0.4203222115
384	0.4201768159
385	0.4193355516
386	0.4182443298
387	0.4179062999
388	0.4159406683
389	0.414762959
390	0.414457279
391	0.4132776473
392	0.4123529153
393	0.4112106729
394	0.4101991166
395	0.409707038
396	0.4086207602
397	0.4078162622
398	0.4069896293
399	0.4061202633
400	0.4051651315
401	0.4044407721
402	0.4040826456
403	0.4028871603
404	0.4026470223
405	0.4025462172
406	0.4017210033
407	0.3999587617
408	0.3990926158
409	0.3979812951
410	0.3969145941
411	0.3961070782
412	0.3951242744
413	0.3946927791
414	0.394313619
415	0.3934199433
416	0.3926806199
417	0.3924875516
418	0.3924050167
419	0.3916445056
420	0.3908959926
421	0.3902418732
422	0.3899387441
423	0.3891015317
424	0.3881373735
425	0.3873755156
426	0.3867619717
427	0.3859771795
428	0.385103554
429	0.3850289384
430	0.3842499409
431	0.3840394974
432	0.3833642116
433	0.3831191227
434	0.3825035867
435	0.3817165724
436	0.3808165087
437	0.3800329603
438	0.3793941118
439	0.3784259003
440	0.3778687505
441	0.3776896543
442	0.3769542696
443	0.3767228911
444	0.3761779543
445	0.3753295547
446	0.3741322411
447	0.3733076791
448	0.3721461349
449	0.3713840166
450	0.3706878689
451	0.37001859
452	0.3698085386
453	0.3690742208
454	0.3685887401
455	0.368374686
456	0.3676091194
457	0.3665133728
458	0.3659285129
459	0.3656781735
460	0.3649836285
461	0.3647464198
462	0.3645099744
463	0.3639368125
464	0.3628901043
465	0.3618850979
466	0.3611445689
467	0.360521531
468	0.3597779114
469	0.3591857844
470	0.3582275984
471	0.3572607958
472	0.3563831178
473	0.3561628224
474	0.3556690159
475	0.3550552419
476	0.3544714892
477	0.3534138271
478	0.3524651112
479	0.3520129037
480	0.3513117194
481	0.3504924316
482	0.3498295479
483	0.3486562087
484	0.3481616685
485	0.3472852674
486	0.3466405612
487	0.3462552542
488	0.3460177574
489	0.3449907943
490	0.3441305887
491	0.3439704746
492	0.3434042043
493	0.3425149902
494	0.3417016641
495	0.3412883802
496	0.3407886461
497	0.3396736581
498	0.3391164202
499	0.3388526472
500	0.3381614118
501	0.3377741798
502	0.3372746727
503	0.3365582076
504	0.3355089005
505	0.3346843655
506	0.3338520476
507	0.3334925475
508	0.3326656561
509	0.3318726859
510	0.331719671
511	0.3310815126
512	0.3299818402
513	0.3294331689
514	0.3287881812
515	0.3283416574
516	0.3280769407
517	0.3279320655
518	0.3272399159
519	0.326611238
520	0.3260840614
521	0.3253560199
522	0.3244616658
523	0.3234023651
524	0.3229271807
525	0.3224111349
526	0.3218217875
527	0.3212832549
528	0.3205502037
529	0.3201341253
530	0.3196920874
531	0.3192776689
532	0.3189473925
533	0.3183193567
534	0.3178074906
535	0.3172569097
536	0.3168053434
537	0.3156811271
538	0.3143918207
539	0.3143647197
540	0.3139977713
541	0.3131241191
542	0.3126737856
543	0.3118580753
544	0.3109724225
545	0.3103740765
546	0.3096018317
547	0.3087658535
548	0.3077102137
549	0.3069104967
550	0.3065646138
551	0.3054939883
552	0.3050903926
553	0.304597679
554	0.3038565416
555	0.3034369197
556	0.3026028761
557	0.3024936927
558	0.3024699906
559	0.3020178491
560	0.3014979225
561	0.3011578644
562	0.3009640016
563	0.3003657737
564	0.2996862962
565	0.29965921
566	0.2992890158
567	0.2986694963
568	0.2984451663
569	0.2978888888
570	0.2972432173
571	0.2972218148
572	0.2964254868
573	0.2959421443
574	0.2953802625
575	0.2950309216
576	0.2942183968
577	0.293790229
578	0.2934078859
579	0.2932856367
580	0.2923070573
581	0.2920589863
582	0.2917230827
583	0.2913758942
584	0.2910147353
585	0.2907130955
586	0.2901588487
587	0.2900235769
588	0.2895593954
589	0.2894602138
590	0.2887508796
591	0.2881116105
592	0.2874994278
593	0.2867798143
594	0.2867613531
595	0.2864148911
596	0.2856932103
597	0.2849095077
598	0.2845420666
599	0.2841414071
600	0.2834479869
601	0.2829908279
602	0.2822114786
603	0.2816318904
604	0.2811304886
605	0.2809157142
606	0.2808982497
607	0.2804830154
608	0.2803643156
609	0.2797839003
610	0.2788472086
611	0.2786047495
612	0.2782883476
613	0.2777062587
614	0.2773401439
615	0.2761539371
616	0.274789081
617	0.2743855766
618	0.2740925024
619	0.2727901039
620	0.2722363719
621	0.2722212762
622	0.2720994237
623	0.271465641
624	0.2709075644
625	0.2707939956
626	0.2705055824
627	0.2701863208
628	0.2699908053
629	0.269877192
630	0.2694900148
631	0.2694655068
632	0.2693125378
633	0.2692378086
634	0.2687140327
635	0.267932451
636	0.2676401285
637	0.2669669917
638	0.2665586661
639	0.2660998353
640	0.2656080082
641	0.2652602065
642	0.2649153888
643	0.2647334881
644	0.2643590445
645	0.2642073614
646	0.2636413467
647	0.2634547102
648	0.2633233679
649	0.2631458589
650	0.2628776066
651	0.2627040497
652	0.2623288062
653	0.2618748127
654	0.2614100608
655	0.2612233259
656	0.260701885
657	0.2601612289
658	0.2591871329
659	0.258847441
660	0.2586844861
661	0.2583239296
662	0.2580297554
663	0.2574999617
664	0.2565597029
665	0.2563298086
666	0.255659928
667	0.2554127032
668	0.2549176423
669	0.2545790565
670	0.2544533018
671	0.2540192386
672	0.2536250367
673	0.2531326855
674	0.2527369221
675	0.2523341975
676	0.2521870287
677	0.2519847774
678	0.2518208195
679	0.2514272342
680	0.2506438706
681	0.2505056009
682	0.2500128962
683	0.2498437936
684	0.2496704425
685	0.2491924678
686	0.2488220368
687	0.2486639066
688	0.247811621
689	0.24765882
690	0.2472574049
691	0.2465678438
692	0.2463907448
693	0.2458022402
694	0.2455386245
695	0.245432071
696	0.2453940175
697	0.2450189485
698	0.2447415928
699	0.2445892024
700	0.2445292941
701	0.2444008724
702	0.2435871348
703	0.2432680949
704	0.2431668092
705	0.2428405207
706	0.2425017269
707	0.2421681423
708	0.2418226674
709	0.2415892457
710	0.2411768513
711	0.2407397849
712	0.2404397495
713	0.2401122135
714	0.239919668
715	0.2393801135
716	0.2392390231
717	0.2389319072
718	0.2385928802
719	0.2379564067
720	0.237362751
721	0.2365996581
722	0.2362938815
723	0.2361603008
724	0.2359816386
725	0.235919346
726	0.2357814317
727	0.2356374939
728	0.2354533206
729	0.2349649662
730	0.2346473281
731	0.2342174031
732	0.2340946223
733	0.233924538
734	0.2337795309
735	0.2330251889
736	0.2326213249
737	0.2323012655
738	0.2321572477
739	0.2318162778
740	0.2315277522
741	0.2313977898
742	0.231001729
743	0.2309821452
744	0.2306697694
745	0.2303922517
746	0.2302341724
747	0.2299126672
748	0.2296291271
749	0.2293281835
750	0.2291871309
751	0.2290123042
752	0.2287258855
753	0.2286103329
754	0.2281508867
755	0.2280778523
756	0.2278033537
757	0.2275137799
758	0.2274252062
759	0.2268991622
760	0.2262462947
761	0.2258611071
762	0.2256409583
763	0.2253817436
764	0.225124851
765	0.2250012948
766	0.2245309305
767	0.2243799315
768	0.2240461963
769	0.2239906606
770	0.2238340787
771	0.2234165856
772	0.2230438342
773	0.222752938
774	0.2226681525
775	0.2223478809
776	0.2222323268
777	0.2221279633
778	0.2220763034
779	0.2216914612
780	0.2216419292
781	0.221531233
782	0.2211392428
783	0.2208211159
784	0.2203257375
785	0.2202729443
786	0.2202627503
787	0.2201429721
788	0.2199042168
789	0.2197571833
790	0.2195102445
791	0.2191971112
792	0.2188043257
793	0.2186894051
794	0.2184518645
795	0.2181499608
796	0.2179103453
797	0.2176854708
798	0.217651817
799	0.2173696901
800	0.2172626485
801	0.2170219638
802	0.2166002036
803	0.2165546751
804	0.2164329263
805	0.2162753297
806	0.2159012228
807	0.2154819074
808	0.215123649
809	0.215023151
810	0.2147268624
811	0.2144379131
812	0.2141411004
813	0.2139953311
814	0.2133862462
815	0.2130338057
816	0.2129236675
817	0.2127782008
818	0.2124275146
819	0.2121483864
820	0.212080238
821	0.211870633
822	0.2116208232
823	0.2115065967
824	0.2111248773
825	0.2109700912
826	0.2109591668
827	0.2108255777
828	0.210254501
829	0.2101134924
830	0.2097579442
831	0.2095842238
832	0.20932032
833	0.2090259876
834	0.2087807566
835	0.2083321048
836	0.208290973
837	0.207954786
838	0.2078442097
839	0.2074924045
840	0.2070625634
841	0.2068075962
842	0.2065549417
843	0.2060633263
844	0.2059609976
845	0.2056987095
846	0.205395787
847	0.2052235681
848	0.2048738716
849	0.2046081358
850	0.2044983799
851	0.2041812991
852	0.2039566418
853	0.2036917323
854	0.2034462878
855	0.2031633407
856	0.202929208
857	0.2022779656
858	0.2019246941
859	0.2018194929
860	0.2015247018
861	0.2014005258
862	0.2011772846
863	0.200876847
864	0.2006034887
865	0.2003520689
866	0.2000702774
867	0.1997815022
868	0.199670051
869	0.199501346
870	0.1993630642
871	0.1990543252
872	0.1987680699
873	0.1985726404
874	0.1985164397
875	0.1982974513
876	0.1979208439
877	0.1976324645
878	0.197307083
879	0.1970357662
880	0.1968793146
881	0.1967095715
882	0.1964731722
883	0.1963015955
884	0.1959125304
885	0.1957199647
886	0.1953928921
887	0.1951272885
888	0.19476834
889	0.1946641913
890	0.1943320804
891	0.1940923992
892	0.1938924564
893	0.193882114
894	0.1937845424
895	0.1937543413
896	0.1935212896
897	0.1934098271
898	0.1931640014
899	0.1929307236
900	0.1926570461
901	0.1923192042
902	0.1920204382
903	0.1918312239
904	0.1917919625
905	0.1915237992
906	0.1914084355
907	0.1913478439
908	0.1910808077
909	0.1908408147
910	0.1906458985
911	0.1903725539
912	0.1901368812
913	0.1898608453
914	0.1898072034
915	0.1894045618
916	0.1893929397
917	0.1892176968
918	0.1890791519
919	0.1888648362
920	0.1886741991
921	0.1885449587
922	0.1880416147
923	0.1878829169
924	0.1877424811
925	0.1875364503
926	0.187358464
927	0.1873292226
928	0.1868225301
929	0.1867525831
930	0.1867072116
931	0.1862086424
932	0.1860614708
933	0.1857820032
934	0.1855730473
935	0.1853176319
936	0.1851143064
937	0.1848972207
938	0.1845620229
939	0.184396491
940	0.1837907406
941	0.1833425028
942	0.1832253784
943	0.1829772567
944	0.1827719823
945	0.1825633386
946	0.1823470957
947	0.1820763393
948	0.1817145717
949	0.1814335256
950	0.1813405139
951	0.1811680908
952	0.1809714312
953	0.1808259686
954	0.1808010973
955	0.1805730932
956	0.1803922156
957	0.1801766916
958	0.1796219264
959	0.1794795983
960	0.1792958229
961	0.1790848738
962	0.1788734294
963	0.1786708297
964	0.1785047616
965	0.1782704867
966	0.1780873917
967	0.1778538103
968	0.1773930729
969	0.1771249468
970	0.1770136783
971	0.1767533606
972	0.1765512635
973	0.1763885543
974	0.1762021375
975	0.1759060186
976	0.1756775029
977	0.1755569096
978	0.1755497347
979	0.1753609451
980	0.175172442
981	0.1749744318
982	0.1747493349
983	0.1745655342
984	0.174242828
985	0.1739069999
986	0.1738763054
987	0.1735653401
988	0.173441284
989	0.1732561555
990	0.173030627
991	0.172826081
992	0.1726228218
993	0.172378927
994	0.1723525199
995	0.1721073651
996	0.1719336397
997	0.1717170837
998	0.1715750737
999	0.1713438119
